zila,upazila,union,lat,lon
Comilla,Debidwar,North Gunaighor,,
Comilla,Debidwar,South Gunaighor,,
Comilla,Debidwar,Boroshalghor,,
Comilla,Debidwar,Rajameher,,
Comilla,Debidwar,Jafargonj,,
Comilla,Debidwar,Dhampti,,
Comilla,Debidwar,Vani,,
Comilla,Barura,North Khoshbas,,
Comilla,Barura,South Khoshbas,,
Comilla,Barura,Jhalam,,
Comilla,Barura,Chitodda,,
Comilla,Barura,North Shilmuri,,
Comilla,Barura,South Shilmuri,,
Comilla,Barura,Payalgacha,,
Comilla,Barura,Laxmipur,,
Comilla,Brahmanpara,Shidli,,
Comilla,Brahmanpara,Brahmanpara Sadar,,
Comilla,Brahmanpara,Shahebabad,,
Comilla,Chandina,Shuhilpur,,
Comilla,Chandina,Bataghashi,,
Comilla,Chandina,Joag,,
Comilla,Chandina,Borcarai,,
Comilla,Chandina,Madhaiya,,
Comilla,Chandina,Dollai Nowabpur,,
Comilla,Chandina,Mohichial,,
Comilla,Chandina,Gollai,,
Comilla,Chandina,Keronkhal,,
Comilla,Chandina,Etberpur,,
Comilla,Chandina,Borcoit,,
Comilla,Chauddagram,Shuvapur,,
Comilla,Chauddagram,Ghulpasha,,
Comilla,Chauddagram,Moonshirhat,,
Comilla,Chauddagram,Jagannatdighi,,
Comilla,Chauddagram,Goonabati,,
Comilla,Daudkandi,Doulotpur,,
Comilla,Daudkandi,Daudkandi,,
Comilla,Daudkandi,North Eliotgonj,,
Comilla,Daudkandi,South Eliotgonj,,
Comilla,Daudkandi,Zinglatoli,,
Comilla,Daudkandi,Sundolpur,,
Comilla,Daudkandi,Gouripur,,
Comilla,Daudkandi,East Mohammadpur,,
Comilla,Daudkandi,West Mohammadpur,,
Comilla,Daudkandi,Betessor,,
Comilla,Daudkandi,Podua,,
Comilla,Daudkandi,West Passgacia,,
Comilla,Daudkandi,Baropara,,
Comilla,Homna,Gagutiea,,
Comilla,Homna,Chanderchor,,
Comilla,Homna,Vashania,,
Comilla,Homna,Nilokhi,,
Comilla,Laksam,Bakoi,,
Comilla,Laksam,Mudafargonj,,
Comilla,Laksam,Uttarda,,
Comilla,Laksam,Laksam Purba,,
Comilla,Laksam,Azgora,,
Comilla,Muradnagar,Sreekil,,
Comilla,Muradnagar,Andicot,,
Comilla,Muradnagar,Purbadair (East),,
Comilla,Muradnagar,Purbadair (West),,
Comilla,Muradnagar,Bangara (East),,
Comilla,Muradnagar,Bangara (West),,
Comilla,Muradnagar,Camalla,,
Comilla,Muradnagar,Ramachandrapur (North),,
Comilla,Muradnagar,Ramachandrapur (South),,
Comilla,Muradnagar,Muradnagar Sadar,,
Comilla,Muradnagar,Nobipur (East),,
Comilla,Muradnagar,Nobipur (West),,
Comilla,Muradnagar,Damgar,,
Comilla,Muradnagar,Salikandi,,
Comilla,Muradnagar,Darura,,
Comilla,Nangalkot,Bangadda,,
Comilla,Nangalkot,Paria,,
Comilla,Nangalkot,Raykot,,
Comilla,Nangalkot,Makrabpur,,
Comilla,Nangalkot,Heshakhal,,
Comilla,Nangalkot,Adra,,
Comilla,Nangalkot,Judda,,
Comilla,Nangalkot,Doulkha,,
Comilla,Nangalkot,Boxgonj,,
Comilla,Sadarsouth,Baropara,,
Comilla,Sadarsouth,Jorkanoneast,,
Comilla,Sadarsouth,Jorkanonwest,,
Comilla,Sadarsouth,Bagmara (North),,
Comilla,Sadarsouth,Bagmara (South),,
Comilla,Sadarsouth,Bhuloin (North),,
Comilla,Sadarsouth,Bhuloin (South),,
Comilla,Sadarsouth,Belgor (North),,
Comilla,Sadarsouth,Belgor (South),,
Comilla,Sadarsouth,Perul (North),,
Feni,Feni Sadar,Panchgachia,,
Feni,Feni Sadar,Dhormapur,,
Feni,Feni Sadar,Dholia,,
Feni,Feni Sadar,Chonua,,
Feni,Feni Sadar,Motobi,,
Feni,Feni Sadar,Forhadnogor,,
Feni,Sonagazi,Charmozlishpur,,
Feni,Sonagazi,Bogadana,,
Feni,Sonagazi,Motigonj,,
Feni,Sonagazi,Mongolkandi,,
Feni,Sonagazi,Chardorbesh,,
Feni,Sonagazi,Chorchandia,,
Feni,Sonagazi,Nababpur,,
Feni,Fulgazi,Dorbarpur,,
Feni,Fulgazi,Anandopur,,
Feni,Fulgazi,Amzadhat,,
Feni,Parshuram,Mizanagar,,
Feni,Parshuram,Ctholia,,
Feni,Parshuram,Boxmahmmud,,
Feni,Daganbhuiyan,Yeakubpur,,
Feni,Daganbhuiyan,Matubhuiyan,,
Feni,Daganbhuiyan,Jayloskor,,
Brahmanbaria,Brahmanbaria Sadar,Machihata,,
Brahmanbaria,Brahmanbaria Sadar,Talsahar,,
Brahmanbaria,Brahmanbaria Sadar,Natai,,
Brahmanbaria,Brahmanbaria Sadar,Natai,,
Brahmanbaria,Brahmanbaria Sadar,Shuhilpur,,
Brahmanbaria,Brahmanbaria Sadar,Bodhal,,
Brahmanbaria,Kasba,Mulagram,,
Brahmanbaria,Kasba,Kharera,,
Brahmanbaria,Kasba,Benauty,,
Brahmanbaria,Kasba,Kasbaw,,
Brahmanbaria,Kasba,Kayempur,,
Brahmanbaria,Nasirnagar,Bhalakut,,
Brahmanbaria,Nasirnagar,Goniauk,,
Brahmanbaria,Nasirnagar,Dharnondol,,
Brahmanbaria,Nasirnagar,Purbabhag,,
Brahmanbaria,Sarail,Auraol,,
Brahmanbaria,Sarail,Pakshimuul,,
Brahmanbaria,Sarail,Kalikaccha,,
Brahmanbaria,Sarail,Panishor,,
Brahmanbaria,Sarail,Noagoun,,
Brahmanbaria,Sarail,Shahajadapur,,
Brahmanbaria,Ashuganj,Ashuganj,,
Brahmanbaria,Ashuganj,Araishidha,,
Brahmanbaria,Ashuganj,Talshaharw,,
Brahmanbaria,Ashuganj,Sarifpur,,
Brahmanbaria,Akhaura,Monionda,,
Brahmanbaria,Akhaura,Akhauran,,
Brahmanbaria,Akhaura,Akhauras,,
Brahmanbaria,Nabinagar,Nathghar,,
Brahmanbaria,Nabinagar,Biddayakut,,
Brahmanbaria,Nabinagar,Nabinagare,,
Brahmanbaria,Nabinagar,Nabinagarw,,
Brahmanbaria,Nabinagar,Bitghar,,
Brahmanbaria,Nabinagar,Jinudpur,,
Brahmanbaria,Nabinagar,Shamogram,,
Brahmanbaria,Nabinagar,Kaitala (North),,
Brahmanbaria,Nabinagar,Kaitala (South),,
Brahmanbaria,Bancharampur,Tazkhali,,
Brahmanbaria,Bancharampur,Pahariya Kandi,,
Brahmanbaria,Bancharampur,Dariadulat,,
Brahmanbaria,Bancharampur,Darikandi,,
Brahmanbaria,Bancharampur,Saifullyakandi,,
Brahmanbaria,Bancharampur,Bancharampur,,
Brahmanbaria,Bancharampur,Ayabpur,,
Brahmanbaria,Bancharampur,Rupushdi,,
Brahmanbaria,Bijoynagar,Bhudanty,,
Brahmanbaria,Bijoynagar,Ichapura,,
Brahmanbaria,Bijoynagar,Singerbil,,
Brahmanbaria,Bijoynagar,Bishupor,,
Brahmanbaria,Bijoynagar,Charislampur,,
Rangamati,Rangamati Sadar,Sapchari,,
Rangamati,Rangamati Sadar,Kutukchari,,
