id,name,district,query,status,formatted_address,place_id,lat,lon,applied
495,Adabor,Dhaka,"Adabor, Dhaka, Bangladesh",OK,"Adabar, Dhaka, Bangladesh",ChIJWf1Q37zAVTcRB3EmszumsJo,23.7732898,90.35483119999999,yes
496,Badda,Dhaka,"Badda, Dhaka, Bangladesh",OK,"Badda, Dhaka, Bangladesh",ChIJy9eUGLfHVTcRRId6p5seWnI,23.7805462,90.4266584,yes
497,Bangshal,Dhaka,"Bangshal, Dhaka, Bangladesh",OK,"Bangshal, Dhaka, Bangladesh",ChIJBRLDRv24VTcRYc0kBh77tvc,23.71814,90.4007384,yes
498,Biman Bandar,Dhaka,"Biman Bandar, Dhaka, Bangladesh",OK,"Airport, Dhaka 1229, Bangladesh",ChIJkYPVHITGVTcRf5juzsxKjZ0,23.851232,90.407657,yes
499,Cantonment,Dhaka,"Cantonment, Dhaka, Bangladesh",OK,"Cantonment, Dhaka, Bangladesh",ChIJvS0brOnGVTcRmNyO09pSiqk,23.8282405,90.3889622,yes
500,Chawkbazar,Dhaka,"Chawkbazar, Dhaka, Bangladesh",OK,"Chawk Bazar, Dhaka, Bangladesh",ChIJq8lgtOG4VTcR5eqkqG3GJ70,23.7170356,90.39632189999999,yes
501,Darus Salam,Dhaka,"Darus Salam, Dhaka, Bangladesh",OK,"Darussalam, Dhaka, Bangladesh",ChIJHyOp8ZbAVTcRNT0CV8L66bU,23.7784999,90.35306659999999,yes
502,Demark,Dhaka,"Demark, Dhaka, Bangladesh",OK,"Dhaka, Bangladesh",ChIJgWsCh7C4VTcRwgRZ3btjpY8,23.804093,90.4152376,yes
503,Dhanmondi,Dhaka,"Dhanmondi, Dhaka, Bangladesh",OK,"Dhanmondi, Dhaka 1205, Bangladesh",ChIJ-8P_PLO4VTcRrxLTX0dvgko,23.7461495,90.3742307,yes
504,Gendaria,Dhaka,"Gendaria, Dhaka, Bangladesh",OK,"Gendaria, Dhaka, Bangladesh",ChIJt2C9Hbq5VTcRe4bcw26h2cI,23.7024528,90.4260691,yes
505,Gulshan,Dhaka,"Gulshan, Dhaka, Bangladesh",OK,"Gulshan, Dhaka, Bangladesh",ChIJc-sN96DHVTcRI_6Qj0k2DAM,23.794798,90.4142694,yes
506,Hazaribagh,Dhaka,"Hazaribagh, Dhaka, Bangladesh",OK,"Hazaribagh, Bangladesh",ChIJESHCTEa_VTcR9TB8NgO0rs4,23.744724,90.359551,yes
507,Jatrabari,Dhaka,"Jatrabari, Dhaka, Bangladesh",OK,"Jatra Bari, Dhaka, Bangladesh",ChIJA21Wfcy5VTcR0kxQwJqkciQ,23.7106102,90.43490919999999,yes
508,Kadamtali,Dhaka,"Kadamtali, Dhaka, Bangladesh",OK,"Kadamtali, Keraniganj, Bangladesh",ChIJzW6MpRe5VTcRafjAHiXa5A8,23.7017913,90.3948498,yes
509,Kafrul,Dhaka,"Kafrul, Dhaka, Bangladesh",OK,"Kafrul, Dhaka, Bangladesh",ChIJwVT6lkjHVTcR_1JI8pfKdCo,23.7895638,90.39131719999999,yes
510,Kalabagan,Dhaka,"Kalabagan, Dhaka, Bangladesh",OK,"Kalabagan, Dhaka 1205, Bangladesh",ChIJj5VI6LC4VTcRzqPGgDEubtU,23.7494231,90.3830754,yes
511,Kamrangirchar,Dhaka,"Kamrangirchar, Dhaka, Bangladesh",OK,"Kamrangirchar, Dhaka, Bangladesh",ChIJAfnf0Cq_VTcRBTdVa2fMcgo,23.7182214,90.367774,yes
512,Khilgaon,Dhaka,"Khilgaon, Dhaka, Bangladesh",OK,"Khilgaon, Dhaka, Bangladesh",ChIJ3xl_gg64VTcRfNXGW7mCdJw,23.7566389,90.4643906,yes
513,Khilkhet,Dhaka,"Khilkhet, Dhaka, Bangladesh",OK,"Khilkhet, Dhaka, Bangladesh",ChIJIT3IK0LGVTcRi6346WzJGzo,23.8311224,90.4243013,yes
514,Kotwali,Dhaka,"Kotwali, Dhaka, Bangladesh",OK,"Kotwali, Dhaka, Bangladesh",ChIJC6GRigK5VTcRQpKrycjIYt0,23.7106805,90.4089838,yes
515,Lalbagh,Dhaka,"Lalbagh, Dhaka, Bangladesh",OK,"Lalbagh, Dhaka, Bangladesh",ChIJaYnBp964VTcRUmHoWBalwsQ,23.7181758,90.3866074,yes
516,Mirpur,Dhaka,"Mirpur, Dhaka, Bangladesh",OK,"Mirpur, Dhaka, Bangladesh",ChIJ23cSxsHAVTcRWS4OcziI0cc,23.8151741,90.3632786,yes
517,Mohammadpur,Dhaka,"Mohammadpur, Dhaka, Bangladesh",OK,"Mohammadpur, Dhaka, Bangladesh",ChIJR9Sjm5_AVTcRo5VsHJ_Oqxs,23.7661639,90.3588734,yes
518,Motijheel,Dhaka,"Motijheel, Dhaka, Bangladesh",OK,"Motijheel, Dhaka, Bangladesh",ChIJr_1qNly4VTcRPJ37TYvNy2M,23.7329724,90.417231,yes
519,New Market,Dhaka,"New Market, Dhaka, Bangladesh",OK,"Mirpur Rd, Dhaka 1205, Bangladesh",ChIJGYvdV064VTcR6CHngkEpb9Y,23.7331937,90.3837664,yes
520,Pallabi,Dhaka,"Pallabi, Dhaka, Bangladesh",OK,"Pallabi, Dhaka, Bangladesh",ChIJ43kWsiTBVTcRyxgKsBTh10g,23.8283088,90.36071369999999,yes
521,Paltan,Dhaka,"Paltan, Dhaka, Bangladesh",OK,"Purana Paltan, Dhaka, Bangladesh",ChIJBTVVHfa4VTcR0IYybb2CTbY,23.7322458,90.4107509,yes
522,Ramna,Dhaka,"Ramna, Dhaka, Bangladesh",OK,"Ramna, Dhaka, Bangladesh",ChIJ1yO-aJK4VTcRUNPO_HBJ4fk,23.7330218,90.3983829,yes
523,Rampura,Dhaka,"Rampura, Dhaka, Bangladesh",OK,"Rampura, Dhaka, Bangladesh",ChIJL4i5Oni4VTcRPH-TbfQp9FA,23.7612256,90.420766,yes
524,Rupnagar,Dhaka,"Rupnagar, Dhaka, Bangladesh",OK,"Rupnagar, Dhaka, Bangladesh",ChIJja89eO7HVTcRetyBUwUIle8,23.7771725,90.43638279999999,yes
525,Sabujbagh,Dhaka,"Sabujbagh, Dhaka, Bangladesh",OK,"PCQH+8MW, Padmakanon Link Road, Dhaka, Bangladesh",ChIJMSFMLEC4VTcRQ9w04CbNx4Q,23.7383544,90.42921249999999,yes
526,Shah Ali,Dhaka,"Shah Ali, Dhaka, Bangladesh",OK,"Shah Ali, House-13 Rd No. 3, Dhaka, Bangladesh",ChIJkyBQGuTAVTcRJszh-VngokY,23.8035611,90.3508276,yes
527,Shahbagh,Dhaka,"Shahbagh, Dhaka, Bangladesh",OK,"Shahbagh, Dhaka, Bangladesh",ChIJyS-f4L-4VTcRek_9q8CbpB0,23.7397263,90.394261,yes
