zila,upazila,union,lat,lon
Comilla,Debidwar,North Gunaighor,23.6114537,90.9772874
Comilla,Debidwar,South Gunaighor,23.6114537,90.9772874
Comilla,Debidwar,Boroshalghor,23.6849493,91.0399726
Comilla,Debidwar,Rajameher,23.5403281,90.9295234
Comilla,Debidwar,Jafargonj,23.4666308,91.1843604
Comilla,Debidwar,Dhampti,23.6114169,90.9773072
Comilla,Debidwar,Vani,23.6114537,90.9772874
Comilla,Barura,North Khoshbas,23.3773279,91.05502220000001
Comilla,Barura,South Khoshbas,23.3773279,91.05502220000001
Comilla,Barura,Jhalam,23.385212,90.9868468
Comilla,Barura,Chitodda,23.4498326,91.18466219999999
Comilla,Barura,North Shilmuri,23.3458029,91.0945436
Comilla,Barura,South Shilmuri,23.3458029,91.0945436
Comilla,Barura,Payalgacha,23.2848573,91.00052319999999
Comilla,Barura,Laxmipur,23.2681134,91.03318700000001
Comilla,Brahmanpara,Shidli,23.6583641,91.0825634
Comilla,Brahmanpara,Brahmanpara Sadar,23.6145643,91.1054511
Comilla,Brahmanpara,Shahebabad,23.5995484,91.1106937
Comilla,Chandina,Shuhilpur,23.4892481,91.00836369999999
Comilla,Chandina,Bataghashi,23.4892481,91.00836369999999
Comilla,Chandina,Joag,23.4892481,91.00836369999999
Comilla,Chandina,Borcarai,23.4892481,91.00836369999999
Comilla,Chandina,Madhaiya,23.4892481,91.0084667
Comilla,Chandina,Dollai Nowabpur,23.4089836,90.93002589999999
Comilla,Chandina,Mohichial,23.4892481,91.00836369999999
Comilla,Chandina,Gollai,23.4892481,91.00836369999999
Comilla,Chandina,Keronkhal,23.4958598,90.9628595
Comilla,Chandina,Etberpur,23.4892481,91.00836369999999
Comilla,Chandina,Borcoit,23.4892481,91.00836369999999
Comilla,Chauddagram,Shuvapur,23.0888148,91.2442902
Comilla,Chauddagram,Ghulpasha,23.228035,91.3131861
Comilla,Chauddagram,Moonshirhat,23.2492479,91.2674411
Comilla,Chauddagram,Jagannatdighi,23.4284477,91.1905094
Comilla,Chauddagram,Goonabati,23.0971898,91.293919
Comilla,Daudkandi,Doulotpur,23.4608378,90.7699198
Comilla,Daudkandi,Daudkandi,23.5337738,90.7247008
Comilla,Daudkandi,North Eliotgonj,23.5131462,90.8693009
Comilla,Daudkandi,South Eliotgonj,23.5131462,90.8693009
Comilla,Daudkandi,Zinglatoli,23.5308217,90.80622579999999
Comilla,Daudkandi,Sundolpur,23.5337738,90.7247008
Comilla,Daudkandi,Gouripur,23.5410524,90.78531559999999
Comilla,Daudkandi,East Mohammadpur,23.4903847,90.8127369
Comilla,Daudkandi,West Mohammadpur,23.4873713,90.81987749999999
Comilla,Daudkandi,Betessor,23.5337738,90.7247008
Comilla,Daudkandi,Podua,23.4700472,90.71052670000002
Comilla,Daudkandi,West Passgacia,23.5337738,90.7247008
Comilla,Daudkandi,Baropara,23.5173982,90.7675424
Comilla,Homna,Gagutiea,23.6824728,90.78329079999999
Comilla,Homna,Chanderchor,23.6912053,90.85485469999999
Comilla,Homna,Vashania,23.6824728,90.78329079999999
Comilla,Homna,Nilokhi,23.6644739,90.811547
Comilla,Laksam,Bakoi,23.283719,91.1016582
Comilla,Laksam,Mudafargonj,23.267814,91.058334
Comilla,Laksam,Uttarda,23.1975983,91.13396759999999
Comilla,Laksam,Laksam Purba,23.2384031,91.1238611
Comilla,Laksam,Azgora,23.2384031,91.1238611
Comilla,Muradnagar,Sreekil,23.6392755,90.9310271
Comilla,Muradnagar,Andicot,23.6392755,90.9310271
Comilla,Muradnagar,Purbadair (East),23.6392755,90.9310271
Comilla,Muradnagar,Purbadair (West),23.6392755,90.9310271
Comilla,Muradnagar,Bangara (East),23.7155112,90.989237
Comilla,Muradnagar,Bangara (West),23.7155112,90.989237
Comilla,Muradnagar,Camalla,23.6929112,90.9146086
Comilla,Muradnagar,Ramachandrapur (North),23.7176378,90.8830071
Comilla,Muradnagar,Ramachandrapur (South),23.7176378,90.8830071
Comilla,Muradnagar,Muradnagar Sadar,23.6400194,90.92833
Comilla,Muradnagar,Nobipur (East),23.639084,90.9599665
Comilla,Muradnagar,Nobipur (West),23.639084,90.9599665
Comilla,Muradnagar,Damgar,23.6392755,90.9310271
Comilla,Muradnagar,Salikandi,23.6392755,90.9310271
Comilla,Muradnagar,Darura,23.6392755,90.9310271
Comilla,Nangalkot,Bangadda,23.2256977,91.2337661
Comilla,Nangalkot,Paria,23.1668383,91.1983186
Comilla,Nangalkot,Raykot,23.2094739,91.2493478
Comilla,Nangalkot,Makrabpur,23.189816,91.1854345
Comilla,Nangalkot,Heshakhal,23.1668383,91.1983186
Comilla,Nangalkot,Adra,23.1489022,91.1520965
Comilla,Nangalkot,Judda,23.1668383,91.1983186
Comilla,Nangalkot,Doulkha,23.1668383,91.1983186
Comilla,Nangalkot,Boxgonj,23.0618419,91.2457898
Comilla,Sadarsouth,Baropara,23.4525342,91.2019807
Comilla,Sadarsouth,Jorkanoneast,23.4189058,91.1726637
Comilla,Sadarsouth,Jorkanonwest,23.4189058,91.1726637
Comilla,Sadarsouth,Bagmara (North),23.3366048,91.1450651
Comilla,Sadarsouth,Bagmara (South),23.3366048,91.1450651
Comilla,Sadarsouth,Bhuloin (North),23.4189058,91.1726637
Comilla,Sadarsouth,Bhuloin (South),23.4189058,91.1726637
Comilla,Sadarsouth,Belgor (North),23.4189058,91.1726637
Comilla,Sadarsouth,Belgor (South),23.4189058,91.1726637
Comilla,Sadarsouth,Perul (North),23.2734814,91.1242561
Feni,Feni Sadar,Panchgachia,23.0101321,91.3713456
Feni,Feni Sadar,Dhormapur,23.0487324,91.3903425
Feni,Feni Sadar,Dholia,22.9259525,91.4094756
Feni,Feni Sadar,Chonua,23.0100149,91.3991863
Feni,Feni Sadar,Motobi,22.9963289,91.461019
Feni,Feni Sadar,Forhadnogor,23.0100149,91.3991863
Feni,Sonagazi,Charmozlishpur,22.9299458,91.35174669999999
Feni,Sonagazi,Bogadana,22.902998,91.368628
Feni,Sonagazi,Motigonj,22.8743786,91.4069796
Feni,Sonagazi,Mongolkandi,23.0100149,91.3991863
Feni,Sonagazi,Chardorbesh,23.0100149,91.3991863
Feni,Sonagazi,Chorchandia,22.8157916,91.3847735
Feni,Sonagazi,Nababpur,22.912078,91.44606
Feni,Fulgazi,Dorbarpur,23.0100149,91.3991863
Feni,Fulgazi,Anandopur,23.0722111,91.42897339999999
Feni,Fulgazi,Amzadhat,23.1214782,91.488992
Feni,Parshuram,Mizanagar,23.2108547,91.4455448
Feni,Parshuram,Ctholia,23.2108547,91.4455448
Feni,Parshuram,Boxmahmmud,23.2108547,91.4455448
Feni,Daganbhuiyan,Yeakubpur,22.9067535,91.2746607
Feni,Daganbhuiyan,Matubhuiyan,22.9539333,91.33246199999999
Feni,Daganbhuiyan,Jayloskor,22.9123584,91.3180042
Brahmanbaria,Brahmanbaria Sadar,Machihata,23.9260207,91.1423106
Brahmanbaria,Brahmanbaria Sadar,Talsahar,24.0244646,91.04185679999999
Brahmanbaria,Brahmanbaria Sadar,Natai,23.9866432,91.092219
Brahmanbaria,Brahmanbaria Sadar,Natai,23.9866432,91.092219
Brahmanbaria,Brahmanbaria Sadar,Shuhilpur,24.01506,91.1113216
Brahmanbaria,Brahmanbaria Sadar,Bodhal,23.9674376,91.1117536
Brahmanbaria,Kasba,Mulagram,23.7473663,91.1257167
Brahmanbaria,Kasba,Kharera,23.7753103,91.10825589999999
Brahmanbaria,Kasba,Benauty,23.7473663,91.1257167
Brahmanbaria,Kasba,Kasbaw,23.7280874,91.142276
Brahmanbaria,Kasba,Kayempur,23.695454,91.13208259999999
Brahmanbaria,Nasirnagar,Bhalakut,24.19575,91.1953135
Brahmanbaria,Nasirnagar,Goniauk,24.19575,91.1953135
Brahmanbaria,Nasirnagar,Dharnondol,24.19575,91.1953135
Brahmanbaria,Nasirnagar,Purbabhag,24.1957594,91.19531429999999
Brahmanbaria,Sarail,Auraol,24.0745179,91.1113216
Brahmanbaria,Sarail,Pakshimuul,24.1620883,91.0488512
Brahmanbaria,Sarail,Kalikaccha,24.0886143,91.1154169
Brahmanbaria,Sarail,Panishor,24.0745179,91.1113216
Brahmanbaria,Sarail,Noagoun,24.0745179,91.1113216
Brahmanbaria,Sarail,Shahajadapur,24.0745179,91.1113216
Brahmanbaria,Ashuganj,Ashuganj,24.0385606,91.0034732
Brahmanbaria,Ashuganj,Araishidha,24.0068798,91.0035812
Brahmanbaria,Ashuganj,Talshaharw,24.0385606,91.0034732
Brahmanbaria,Ashuganj,Sarifpur,24.0385606,91.0034732
Brahmanbaria,Akhaura,Monionda,23.8673991,91.2081173
Brahmanbaria,Akhaura,Akhauran,23.8673991,91.2081173
Brahmanbaria,Akhaura,Akhauras,23.8673991,91.2081173
Brahmanbaria,Nabinagar,Nathghar,23.8884944,90.9659192
Brahmanbaria,Nabinagar,Biddayakut,23.8884944,90.9659192
Brahmanbaria,Nabinagar,Nabinagare,23.8884944,90.9659192
Brahmanbaria,Nabinagar,Nabinagarw,23.8884944,90.9659192
Brahmanbaria,Nabinagar,Bitghar,23.8281698,91.04664369999999
Brahmanbaria,Nabinagar,Jinudpur,23.8107311,90.9844567
Brahmanbaria,Nabinagar,Shamogram,23.8884944,90.9659192
Brahmanbaria,Nabinagar,Kaitala (North),23.8607053,91.0729818
Brahmanbaria,Nabinagar,Kaitala (South),23.8607053,91.0729818
Brahmanbaria,Bancharampur,Tazkhali,23.7731359,90.8008195
Brahmanbaria,Bancharampur,Pahariya Kandi,23.7731359,90.8008195
Brahmanbaria,Bancharampur,Dariadulat,23.8266846,90.7960805
Brahmanbaria,Bancharampur,Darikandi,23.793515,90.87943109999999
Brahmanbaria,Bancharampur,Saifullyakandi,23.7981947,90.840116
Brahmanbaria,Bancharampur,Bancharampur,23.7731359,90.8008195
Brahmanbaria,Bancharampur,Ayabpur,23.7806932,90.7734862
Brahmanbaria,Bancharampur,Rupushdi,23.7731359,90.8008195
Brahmanbaria,Bijoynagar,Bhudanty,24.0141859,91.2265536
Brahmanbaria,Bijoynagar,Ichapura,23.9608181,91.1115014
Brahmanbaria,Bijoynagar,Singerbil,24.0141859,91.2265536
Brahmanbaria,Bijoynagar,Bishupor,24.0141859,91.2265536
Brahmanbaria,Bijoynagar,Charislampur,24.0141859,91.2265536
Rangamati,Rangamati Sadar,Sapchari,22.5078201,92.1890427
Rangamati,Rangamati Sadar,Kutukchari,22.6957922,92.0812289
Rangamati,Rangamati Sadar,Mogban,22.6530165,92.1788229
Rangamati,Kaptai,Chitmorom,22.5036194,92.1990763
Rangamati,Kawkhali,Fatikchari,22.7212148,91.95391060000001
Rangamati,Baghaichari,Bongoltali,23.1649165,92.19136429999999
Rangamati,Baghaichari,Rupokari,23.1649165,92.19136429999999
Rangamati,Baghaichari,Marisha,23.1649165,92.19136429999999
Rangamati,Baghaichari,Khedarmara,23.0875946,92.2202468
Rangamati,Baghaichari,Sharoyatali,23.1649165,92.19136429999999
Rangamati,Baghaichari,Baghaichari,23.1649165,92.19136429999999
Rangamati,Barkal,Subalong,22.702145,92.296373
Rangamati,Barkal,Bushanchara,22.7251557,92.3795109
Rangamati,Barkal,Aimachara,22.7251557,92.3795109
Rangamati,Barkal,Borohorina,22.9719318,92.3517526
Rangamati,Langadu,Langad,22.9677814,92.200155
Rangamati,Langadu,Maeinimukh,22.9677814,92.200155
Rangamati,Langadu,Vasannadam,22.9677814,92.200155
Rangamati,Langadu,Bogachattar,22.9677814,92.200155
Rangamati,Langadu,Kalapakujja,23.0190601,92.21134860000001
Rangamati,Rajasthali,Ghilachari,22.4068125,92.2760804
Rangamati,Rajasthali,Gaindya,22.3585196,92.1939206
Rangamati,Belaichari,Kengrachari,22.4912827,92.33812879999999
Rangamati,Belaichari,Belaichari,22.5117427,92.3436747
Rangamati,Juraichari,Juraichari,22.6708223,92.3788939
Rangamati,Juraichari,Banajogichara,22.6715997,92.34569979999999
Rangamati,Juraichari,Moidong,22.5725886,92.37642579999999
Rangamati,Naniarchar,Sabekkhong,22.862167,92.1106617
Noakhali,Noakhali Sadar,Noannoi,22.8652943,91.0970586
Noakhali,Noakhali Sadar,Aujbalia,22.8652943,91.0970586
Noakhali,Noakhali Sadar,Kaladara,22.8652943,91.0970586
Noakhali,Noakhali Sadar,Newajpur,22.8652943,91.0970586
Noakhali,Noakhali Sadar,East Charmatua,22.8652943,91.0970586
Noakhali,Noakhali Sadar,Andarchar,22.8652943,91.0970586
Noakhali,Companiganj,Charparboti,22.9032432,91.3396927
Noakhali,Begumganj,Alyearpur,22.9320465,91.0923963
Noakhali,Begumganj,Chayani,22.8978216,91.01348879999999
Noakhali,Hatia,Nolchira,22.2912019,91.1404602
Noakhali,Hatia,Tomoroddi,22.290748,91.07477820000001
Noakhali,Hatia,Sonadiya,22.2880698,91.1400998
Noakhali,Hatia,Nijhumdwi,22.2880698,91.1400998
Noakhali,Subarnachar,Charjubilee,22.6518231,91.1065272
Noakhali,Subarnachar,East Charbata,22.6667028,91.10892439999999
Noakhali,Kabirhat,Dhanshiri,22.7467481,91.1640968
Noakhali,Kabirhat,Ghoshbag,22.7956429,91.1989169
Noakhali,Kabirhat,Batoiya,22.7956429,91.1989169
Noakhali,Senbug,Dumurua,24.3088778,91.34813009999999
Noakhali,Senbug,Bejbagh,22.8723789,91.09731839999999
Noakhali,Chatkhil,Porokote,23.0518075,90.9772874
Noakhali,Chatkhil,Badalkot,23.0874379,90.96083499999999
Noakhali,Chatkhil,Noakhala,23.0386866,90.953311
Noakhali,Sonaimori,Joyag,23.0637018,91.0106134
Noakhali,Sonaimori,Nodona,23.0604732,91.07600599999999
Noakhali,Sonaimori,Barogaon,23.0149876,91.1400998
Noakhali,Sonaimori,Ambarnagor,22.9908833,91.17850159999999
Noakhali,Sonaimori,Bajra,23.0509273,91.1113216
Chandpur,Haimchar,Algidurgapur (North),23.0595392,90.5919691
Chandpur,Haimchar,Algidurgapur (South),23.0595392,90.5919691
Chandpur,Kachua,Shohodebpur (East),23.3431888,90.8913478
Chandpur,Kachua,Shohodebpur (West),23.3431888,90.8913478
Chandpur,Kachua,Kachua (North),23.3431888,90.8913478
Chandpur,Kachua,Kachua (South),23.3431888,90.8913478
Chandpur,Kachua,Gohat (North),23.3036343,90.9402655
Chandpur,Kachua,Gohat (South),23.3036343,90.9402655
Chandpur,Kachua,Koroia,23.3431888,90.8913478
Chandpur,Shahrasti,Meher (North),23.2306433,90.9486223
Chandpur,Shahrasti,Meher (South),23.2306433,90.9486223
Chandpur,Shahrasti,Suchipara (North),23.1590681,90.9677301
Chandpur,Shahrasti,Suchipara (South),23.1590681,90.9677301
Chandpur,Shahrasti,Chitoshi (East),23.1650938,91.0029339
Chandpur,Shahrasti,Raysree (South),23.2401024,91.01324079999999
Chandpur,Shahrasti,Raysree (North),23.2383092,90.999735
Chandpur,Shahrasti,Chitoshiwest,23.2306433,90.9486223
Chandpur,Chandpur Sadar,Bishnapur,23.2250228,90.6547361
Chandpur,Chandpur Sadar,Laxmipur Model,23.2249389,90.65472799999999
Chandpur,Matlab South,Nayergaon (North),23.4126309,90.75168219999999
Chandpur,Matlab South,Nayergaon (South),23.4126309,90.75168219999999
Chandpur,Matlab South,Upadi (South),23.3270783,90.729523
Chandpur,Matlab South,Upadi (North),23.3270783,90.729523
Chandpur,Hajiganj,Rajargaon (North),23.3001155,90.76516509999999
Chandpur,Hajiganj,Kalocho (North),23.2997277,90.8413068
Chandpur,Hajiganj,Hajiganj Sadar,23.2508859,90.8498709
Chandpur,Hajiganj,Kalocho (South),23.2508859,90.8498709
Chandpur,Hajiganj,Barkul (East),23.2508859,90.8498709
Chandpur,Hajiganj,Barkul (West),23.2386779,90.8666858
Chandpur,Hajiganj,Hatila (East),23.2508859,90.8498709
Chandpur,Hajiganj,Hatila (West),23.2508859,90.8498709
Chandpur,Hajiganj,Gandharbapur (North),23.2508859,90.8498709
Chandpur,Hajiganj,Gandharbapur (South),23.2508859,90.8498709
Chandpur,Matlab North,Banganbari,23.3658096,90.63825779999999
Chandpur,Matlab North,Fatehpur (East),23.2513148,90.8517846
Chandpur,Matlab North,Fatehpur (West),23.3658096,90.63825779999999
Chandpur,Matlab North,Gazra,23.3658096,90.63825779999999
Chandpur,Faridgonj,Balithuba (West),23.1958963,90.7675424
Chandpur,Faridgonj,Balithuba (East),23.1958963,90.7675424
Chandpur,Faridgonj,Subidpur (East),23.1866639,90.82701929999999
Chandpur,Faridgonj,Subidpur (West),23.1866639,90.82701929999999
Chandpur,Faridgonj,Gupti (West),23.1508567,90.8413068
