id,name_en,query,status,result_type,formatted_address,place_id,latitude,longitude,applied
BD-WB-0026,Kasalong,"Kasalong, River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0027,Bangshi,"Bangshi, River, Bangladesh",OK,establishment|natural_feature,"Bangshi River, Bangladesh",ChIJt7-tYbcgVjcRb6kV_NB4yVc,24.48845939593953,90.02805149450391,yes
BD-WB-0028,Dharla,"Dharla, River, Bangladesh",OK,establishment|natural_feature,"Dharla, Bangladesh",ChIJ8dg13-e14jkRbvYbH_C5CEY,25.87514905436399,89.58960924617882,yes
BD-WB-0029,Dudhkumar,"Dudhkumar, River, Bangladesh",OK,establishment|natural_feature,Dudhkumor River,ChIJO7IUKQvt4jkROxQhGZ3_toE,26.19175675152409,89.67690541695315,yes
BD-WB-0030,Kangsha,"Kangsha, River, Bangladesh",OK,establishment|natural_feature,"Kangsa River, Bangladesh",ChIJqd3VF3m2VzcRBTyC2-1MDmc,24.97417921307164,90.56506423922853,yes
BD-WB-0031,Sutang,"Sutang, River, Bangladesh",OK,establishment|natural_feature,"Sutang River, Bangladesh",ChIJGQQbBr1aUTcRrgB7ofJ6iK0,24.3062402,91.37839059999999,yes
BD-WB-0032,Halda,"Halda, River, Bangladesh",OK,establishment|natural_feature,"Halda River, Bangladesh",ChIJbwaXp4QorTAR0W22xElk0bM,22.52593392085843,91.84164021423024,yes
BD-WB-0033,Titas,"Titas, River, Bangladesh",OK,establishment|natural_feature,"Titas River, Bangladesh",ChIJm3AhEHJHVDcRff_NLpClTOA,23.80129124979716,90.83895306446271,yes
BD-WB-0034,Karatoa (North & South),"Karatoa (North & South), River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0035,Atrai,"Atrai, River, Bangladesh",OK,establishment|natural_feature,Atrai River,ChIJvYseG3Iu_DkRVEUgY3XzKV8,25.06584030550964,89.01649379445296,yes
BD-WB-0036,Jadukata,"Jadukata, River, Bangladesh",OK,establishment|natural_feature,Jadukata River,ChIJP2znYzTuUDcR1QsuzjSJQHo,25.12018382699828,91.67728875603717,yes
BD-WB-0037,Khowai,"Khowai, River, Bangladesh",OK,establishment|natural_feature,Khowai River,ChIJWTvVdDjbUzcROpVDEIb6Sns,24.10919282523134,91.48787511354486,yes
BD-WB-0038,Mahananda,"Mahananda, River, Bangladesh",OK,establishment|natural_feature,Mahananda River,ChIJK9PfeUdB5DkRzf8-G5NYvmE,26.47742598506915,88.15737139870716,yes
BD-WB-0039,Manu,"Manu, River, Bangladesh",OK,establishment|natural_feature,Manu River,ChIJLy293UUMUTcR5Z4m4GqEv2w,24.45338475768452,91.85644952527058,yes
BD-WB-0040,Piyain,"Piyain, River, Bangladesh",OK,establishment|natural_feature,"Piyain River, Bangladesh",ChIJuVBaPv3QVjcR27Zkys3rfb4,24.7683391,91.09554729999999,yes
BD-WB-0041,Punarbhaba,"Punarbhaba, River, Bangladesh",OK,establishment|natural_feature,"Punarbhaba River, Bangladesh",ChIJ3ePSOm9N-zkRtb6LcmIycWA,25.61172107965042,88.60240532561627,yes
BD-WB-0042,Sari-Goyain,"Sari-Goyain, River, Bangladesh",OK,country|political,Bangladesh,ChIJp4vhgO2qrTARa_zhxOAoLQ8,23.684994,90.356331,yes
BD-WB-0043,Someswari,"Someswari, River, Bangladesh",OK,establishment|natural_feature,Someshwari River,ChIJr87_pQgHVzcRj_dHA28cHVY,25.11046911586802,90.64886056155642,yes
BD-WB-0044,Arial Khan,"Arial Khan, River, Bangladesh",OK,establishment|natural_feature,"Arial Khan River, Bangladesh",ChIJ1yaKDb-DVTcReQYTrWjMzAE,23.13184157854557,90.25321491262896,yes
BD-WB-0045,Bhairab,"Bhairab, River, Bangladesh",OK,establishment|natural_feature,"Bhairab River, Bangladesh",ChIJHwCEL-II_zkRmOw9nbXgnIU,23.10063039966696,89.29328012974105,yes
BD-WB-0046,Chitra,"Chitra, River, Bangladesh",OK,establishment|natural_feature,"Chitra River, Bangladesh",ChIJRfx3qwml_zkRLpIkRpt_8cY,23.15536547162542,89.52144038131443,yes
BD-WB-0047,Dhaleshwari,"Dhaleshwari, River, Bangladesh",OK,establishment|natural_feature,"Dhaleshwari River, Bangladesh",ChIJEfx3UYa7VTcRsW2k9-W3fe8,23.62629639145374,90.38935889756674,yes
