bwdb_serial,river_name_en,bwdb_zone,border_river,flow_type,source
1,Abua (Nandiagang),NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
2,Afra,SE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
3,Akhira Machcha,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
4,Alai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
5,Alai Kumari (Burail),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
6,Amari Khal,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
7,Andhar Manik,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
9,Arial Khan (Narsingdi),NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
10,Arpangasia,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
11,Arshi-Nalia,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
12,Atai,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
13,Atharabaki,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
15,Atrai (Dinajpur),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
16,Atrai (Naogaon-Natore),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
17,Atrai (Pabna),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
18,Atrakhali,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
19,Ayman-Akhila,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
20,Ayman-Mobari,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
21,Badai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
22,Badurgacha,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
23,Bajja Medhua,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
25,Baksatra,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
27,Baloi,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
29,Balua,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
30,Banar Lower,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
31,Banar Upper,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
34,Bangshi (Savar),NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
35,Banni,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
36,Baragang,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
37,Baral Lower (Pabna),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
38,Baral Upper (Baral-Nandakuza),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
39,Barnai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
40,Batar Khal,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
41,Bathail,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
42,Baula (Balua),NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
43,Beduri Khal,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
44,Begabati,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
45,Bekra,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
46,Belan,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
47,Berong,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
48,Besani,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
49,Betna,SW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
50,Betoir,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
51,Bhadai (Bogra),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
52,Bhadra,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
53,Bhairab (Bagerhat),SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
54,Bhairav,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
55,Bhairav-Kapadak,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
56,Bhogai Kangsha,NE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
57,Bhola (Bagerhat),SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
58,Bhola Khal,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
59,Bhulni,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
60,Bhulua,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
61,Bhuvneshwar,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
62,Bhwabna - Basia-Bahia Gang,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
63,Bibiyana,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
64,Bijna-Gungaijuri,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
65,Bisharkand-Bagda Khal,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
67,Bizni,SE,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
68,Bogy,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
69,Boiran,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
70,Boshkhali Khal,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
71,Brahmaputra (Naringdi-Munshiganj),NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
72,Brahmaputra-Jamuna,MJ,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
73,Bulnai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
74,Bura Matamuhuri,SE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
75,Burail,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
76,Buri,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
78,Burikhora,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
79,Burishwar-pyra,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
80,Buritista,NW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
81,Burka,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
82,Chamati,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
83,Chandana-Barasia,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
84,Chapai,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
85,Chatal,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
86,Chatkhali,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
87,Chatnai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
88,Chatra,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
89,Chawai,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
90,Chela,NE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
91,Chikli,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
92,Chiknai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
93,Chilai,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
94,Chingri (Chengi),SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
95,Chiri,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
96,Chirri,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
97,Chitalkhali,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
98,Chitra (Chuadanga),SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
99,Chotto Dhepa,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
100,Chotto Feni,SE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
101,Chotto Jamuna,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
102,Chotto Senua,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
103,Chungabhanga,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
104,Chunkuri,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
105,Coolik,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
106,Cumlal-Naotara,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
107,Dahook,NW,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
108,Dakatia,SE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
109,Dalu Khal-Tangkabati Khal,EH,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
110,Daratana-Pailahara,EH,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
111,Darirgang,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
112,Dasadia,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
113,Dauka,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
114,Deluti,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
115,Deonai-Charal Kata-Jamuneshwari,NW,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
116,Dhaijan,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
117,Dhaki,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
118,Dhala,NE,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
119,Dhalai (Maulvibazar),NE,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
120,Dhalai-Bisnai,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
122,Dhanagoda,SE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
123,Dhanu,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
125,Dhepa,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
126,Dhum,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
127,Dolta,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
128,Dudhda,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
130,Eidgaon,EH,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
131,Elishmari,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
132,Elongjani,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
133,Fakirnee,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
134,Fatki,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
136,Fullkumar,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
137,Gadai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
138,Galghesia (Gutia khali),SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
139,Gangdubi,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
140,Ganges (Padma),MJ,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
141,Gangnai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
142,Garai,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
143,Gaveswari,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
144,Gazikhali,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
145,Ghaghar,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
146,Ghaghat,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
147,Ghaghtia,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
148,Ghanura-Baggala (Bukha),NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
149,Ghasiyakhali,NE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
150,Ghirnai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
151,Ghora Utra,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
152,Ghoramara,NW,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
153,Ghoria Khal,NW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
154,Ghunggur,SE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
155,Girai,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
156,Giridari,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
157,Goalner Khal,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
158,Gobra,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
159,Gohala,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
160,Gulishakhali,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
161,Gumai,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
162,Gumti,SE,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
163,Gunakhali,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
165,Hamkura,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
166,Haparkhali,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
167,Harabati,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
168,Hari,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
169,Haria,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
170,Haridoa,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
171,Harihar,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
172,Hawarkhali,SW,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
173,Hawrah,SE,Yes,SEASONAL,https://en.bwdb.gov.bd/rivers-information
174,Hi,NC,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
175,Hishna-Jhanjha,SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
176,Hura Sagor,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
177,Ichamati (Bogra),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
178,Ichamati (Bogra-Sirajganj),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
179,Ichamati (Dinajpur),SW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
180,Ichamati (Manikganj),NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
181,Ichamati (Pabna),NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
182,Ichamati (Rangamati),SE,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
183,Ichamati (Sirajdikhan),NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
184,Ichamati-Kalindi,NC,No,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
185,Iramatee,NW,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
186,Isdar Khal - Barabanga,NE,No,SEASONAL,https://en.bwdb.gov.bd/rivers-information
187,Jadukata Rakti,NE,Yes,PERENNIAL,https://en.bwdb.gov.bd/rivers-information
