SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude,First Date,Last Date
1,SW1,Bagerhat,Alaipur Khal Daratona,Tidal,Bagerhat,Bagerhat Sadar,22.6488,89.8037,01-04-1959,31-07-2026
2,SW105,Off take at Atharobanka,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Bagerhat,Mollahat,22.9654,89.7825,01-04-1929,31-07-2026
3,SW244,Mongla,Rupsa-Pasur,Tidal,Bagerhat,Mongla,22.4807,89.6080,01-10-1960,01-01-2067
4,SW107.2,Rayenda,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Bagerhat,Sarankhola,22.3161,89.8495,01-04-1968,31-07-2026
5,SW203.5,Poamuhuri,Matamuhuri,Non-Tidal,Bandarban,Alikadam,21.4581,92.4545,20-02-2019,30-06-2025
6,SW203A,Alikadam,Matamuhuri,Non-Tidal,Bandarban,Alikadam,21.6435,92.3123,01-07-2025,30-06-2026
7,SW247,Bandarban,Sangu,Non-Tidal,Bandarban,Bandarban Sadar,22.1966,92.2166,01-04-1965,30-06-2026
8,SW246,Galimkata,Sangu,Non-Tidal,Bandarban,Bandarban Sadar,22.1393,92.2900,01-04-1965,31-03-1984
9,SW203,Lama,Matamuhuri,Non-Tidal,Bandarban,Lama,21.7861,92.1908,01-04-1962,31-07-2026
10,SW245,Ruma,Sangu,Non-Tidal,Bandarban,Ruma,22.0600,92.3700,01-04-1965,31-03-1998
11,SW247.4,Remakri,Sangu,Non-Tidal,Bandarban,Thanchi,21.6761,92.5173,20-02-2019,30-06-2025
12,SW247.5,Thanchi,Sangu,Non-Tidal,Bandarban,Thanchi,21.8163,92.4372,01-07-2025,30-06-2026
13,SW20,Amtali,Barisal-Buriswar,Tidal,Barguna,Amtali,22.1432,90.2265,01-04-1957,31-07-2026
14,SW38,Bamna,Bishkhali,Tidal,Barguna,Bamna,22.3241,90.0908,18-11-1958,31-07-2026
15,SW38.1,Barguna,Bishkhali,Tidal,Barguna,Barguna Sadar,22.1581,90.1050,01-04-1990,31-07-2026
16,SW37.5,Betagi,Bishkhali,Tidal,Barguna,Betagi,22.4161,90.1656,01-04-1993,31-07-2026
17,SW108,Chardoani,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Barguna,Patharghata,22.1075,89.9100,01-04-1996,31-03-1997
18,SW39,Patharghata,Bishkhali,Tidal,Barguna,Patharghata,22.0134,89.9642,01-04-1958,31-07-2026
19,SW318,Babuganj,Babuganj,Tidal,Barisal,Babuganj,22.8182,90.3212,01-04-1991,31-07-2026
20,SW183,Kaitpara,Lohalia,Tidal,Barisal,Bakerganj,22.5167,90.4327,01-04-1968,31-07-2026
21,SW18.1,Bakerganj,Barisal-Buriswar,Tidal,Barisal,Bakerganj,22.5429,90.3386,01-04-1968,31-07-2026
22,SW18,Barisal,Kirtankhola,Tidal,Barisal,Barisal Sadar,22.6966,90.3740,01-06-1938,31-07-2026
23,SW288.3,Tongibari,Tentulia (Barisal-Bhola),Tidal,Barisal,Barisal Sadar,22.6882,90.4894,01-04-1991,31-07-2026
24,SW300,Gournadi,Torki,Tidal,Barisal,Gaurnadi,22.9760,90.2305,01-01-1996,31-07-2026
25,SW323,Abupur,Naya Bhangani,Tidal,Barisal,Hizla,22.9741,90.4641,01-04-1990,31-07-2026
26,SW320,Hizla,Dharmajani,Tidal,Barisal,Hizla,22.8907,90.5046,01-04-1990,31-07-2026
27,SW253A,Uzirpur,Swarupkati/Sandha,Tidal,Barisal,Wazirpur,22.8119,90.2408,01-04-1991,31-07-2026
28,SW288.4,Bhola Kheya ghat,Tentulia (Barisal-Bhola),Tidal,Bhola,Bhola Sadar,22.6766,90.6062,01-04-1990,31-07-2026
29,SW278,Daulatkhan,Surma-Meghna,Tidal,Bhola,Daulatkhan,22.6038,90.7483,01-04-1959,31-07-2026
30,SW279,Tajumuddin,Surma-Meghna,Tidal,Bhola,Tazumuddin,22.4088,90.8526,01-04-1959,31-07-2026
31,SW65,Bogra,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Bogura,Bogura Sadar,24.8459,89.3792,01-06-1946,31-07-2026
32,SW324,Dhunot,Old Bangali,Non-Tidal,Bogura,Dhunot,24.6848,89.5428,01-04-1964,31-07-2026
33,SW312,Talora Rly.Cros,Nagor,Non-Tidal,Bogura,Dhupchanchia,24.8261,89.1889,01-04-1965,31-07-2026
34,SW306,Gabtali,Ichamati (Outfall),Non-Tidal,Bogura,Gabtali,24.9030,89.4600,01-04-1965,13-11-1976
35,SW15J,Mathurpara-Milanpur,Brahmaputra-Jamuna,Non-Tidal,Bogura,Shariakandi,24.8375,89.5872,01-04-1979,31-07-2026
36,SW11A,Shariakandi,Bangali,Non-Tidal,Bogura,Shariakandi,24.8744,89.5655,01-04-1974,31-07-2026
37,SW11,Khanpur,Bangali,Non-Tidal,Bogura,Sherpur,24.6289,89.4644,01-04-1947,31-07-2026
38,SW64,Shibganj,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Bogura,Shibganj,25.1708,89.3205,01-06-1945,31-07-2026
39,SW10,Simulbari,Bangali,Non-Tidal,Bogura,Sonatola,25.0497,89.5226,01-06-1945,31-07-2026
40,SW123,Gangasagar Rly.,Hawrah,Non-Tidal,Brahmanbaria,Akhaura,23.8335,91.1985,01-09-1957,31-07-2026
41,SW296,Akhaura,Titas,Tidal,Brahmanbaria,Akhaura,23.8798,91.1993,28-07-1959,30-06-2026
42,SW359,Harashpur,Lohor,Non-Tidal,Brahmanbaria,Bijoynagar,24.0168,91.2991,01-01-2023,31-07-2026
43,SW3A,Brahmanbaria,Anderson khal,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9569,91.1196,01-04-1959,31-07-2026
44,SW297,Gokarnaghat,Titas,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9531,91.0831,01-10-1959,31-07-2026
45,SW3,Brahmanbaria Rly_Bridge,Anderson khal,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9566,91.1200,01-10-1958,31-01-2003
46,SW330,Bijni Rly Bridge,Bijni,Non-Tidal,Brahmanbaria,Kasba,23.6733,91.1600,01-04-1988,30-09-2021
47,SW298.5,Salimganj,Titas,Tidal,Brahmanbaria,Nabinagar,23.8486,90.8453,01-01-1997,31-07-2026
48,SW298,Nabinagar,Titas,Tidal,Brahmanbaria,Nabinagar,23.9051,90.9735,01-04-1959,30-06-2026
49,SW295,Ajabpur,Titas,Tidal,Brahmanbaria,Sarail,24.1212,91.0548,01-10-1959,31-07-2026
50,SW277,Chandpur,Surma-Meghna,Tidal,Chandpur,Chandpur Sadar,23.2290,90.6448,25-07-1947,31-07-2026
51,SW277.3,Nilkamal,Surma-Meghna,Tidal,Chandpur,Haimchar,23.0843,90.6492,01-04-1968,31-07-2026
52,SW58A,Laksam,Dakatia,Non-Tidal,Chandpur,Hajiganj,23.2338,91.1189,01-05-1996,31-07-2026
53,SW58,Hajiganj,Dakatia,Tidal,Chandpur,Hajiganj,23.2489,90.8613,01-10-1957,31-07-2026
54,SW276,Satnal,Surma-Meghna,Tidal,Chandpur,Matlab Dakshin,23.4805,90.5932,01-04-1949,30-06-2026
55,SW79,Matlab Bazar,Dhanagoda,Tidal,Chandpur,Matlab Uttar,23.3548,90.7098,21-05-1959,31-07-2026
56,SW250,Banigram,Sangu,Tidal,Chattogram,Bashkhali,22.1217,91.8947,01-04-1968,31-07-2026
57,SW248,Dohazari,Sangu,Tidal,Chattogram,Chandanaish,22.1593,92.0671,01-04-1969,30-06-2026
58,SW152.2,Kalurghat,Karnafuli,Tidal,Chattogram,Chittagong Sadar,22.3946,91.8908,01-07-2010,30-06-2026
59,SW121,Enayethat,Halda,Tidal,Chattogram,Chittagong Sadar,22.4197,91.8823,01-01-1959,31-07-2026
60,SW153,Chittagong,Karnafuli,Tidal,Chattogram,Chittagong Sadar,22.3229,91.8300,03-02-2016,14-03-2016
61,SW119A,South Sundarpur,Halda,Tidal,Chattogram,Fatikchhari,22.6781,91.7800,01-04-1965,18-02-2017
62,SW356,Bainochhola,Dhurang Khal,Non-Tidal,Chattogram,Fatikchhari,22.7615,91.8685,15-01-2020,30-06-2026
