id,slug,name_en,name_bn,alternate_names,water_body_type,water_body_subtype,division,district,upazila,latitude,longitude,area_monsoon_sqkm,area_dry_sqkm,length_km_bd,length_km_total,avg_width_m,max_depth_m,mean_discharge_m3s,water_volume_est,hydrological_origin,outfall_to,basin_name,river_system,flow_regime,seasonality,transboundary_flag,transboundary_countries,divisions_traversed,districts_traversed,bwdb_gauging_stations,ramsar_site,protected_status,ecological_importance,major_species,fish_breeding_importance,flood_importance,irrigation_importance,navigation_importance,hydropower_importance,drinking_water_importance,pollution_status,major_threats,banglapedia_match_name,banglapedia_length_km,banglapedia_area_covered_old_districts,banglapedia_source,wikidata_id,wikipedia_url,osm_relation_id,primary_source,source_urls,source_count,data_confidence,last_verified_at,summary,notes
BD-WB-0001,arial-beel,Arial Beel,আড়িয়াল বিল,,Wetland,Beel,,Munshiganj / Dhaka,Sreenagar / Nawabganj,23.6333,90.2500,136.00,40.00,,,,,,Medium seasonal,,,,,,Medium seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0002,ashurar-beel,Ashurar Beel,আশুড়ার বিল,,Wetland,Beel,,Dinajpur,Nawabganj,25.4167,89.0167,3.50,1.20,,,,,,Low-medium seasonal,,,,,,Low-medium seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0003,baikka-beel,Baikka Beel,বাইক্কা বিল,,Wetland,Beel,,Moulvibazar,Sreemangal,24.3583,91.6417,1.00,0.85,,,,,,Perennial wetland sanctuary,,,,,,Perennial wetland sanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0004,beel-dakatia,Beel Dakatia,বিল ডাকাতিয়া,,Wetland,Beel,,Khulna / Satkhira,Dumuaria / Phultala,22.9000,89.4167,90.00,35.00,,,,,,Polder waterlogged basin,,,,,,Polder waterlogged basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0005,chalan-beel,Chalan Beel,চলন বিল,,Wetland,Beel,,Natore / Sirajganj / Pabna,Singra / Gurudaspur / Chatmohar,24.4167,89.2500,375.00,55.00,,,,,,Dynamic seasonal,,,,,,Dynamic seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0006,dekhar-haor,Dekhar Haor,ডেকহার হাওর,,Wetland,Haor,,Sunamganj,Sunamganj Sadar,25.0167,91.3667,70.00,20.00,,,,,,High seasonal storage,,,,,,High seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0007,dingapota-haor,Dingapota Haor,ডিঙ্গাপোতা হাওর,,Wetland,Haor,,Netrokona,Mohanganj,24.8667,90.9667,85.00,22.00,,,,,,High seasonal storage,,,,,,High seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0008,hail-haor,Hail Haor,হাইল হাওর,,Wetland,Haor,,Moulvibazar,Sreemangal,24.3833,91.6833,130.00,30.00,,,,,,Medium seasonal storage,,,,,,Medium seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0009,hakaluki-haor,Hakaluki Haor,হাকালুকি হাওর,,Wetland,Haor,,Moulvibazar / Sylhet,Kulaura / Juri / Fenchuganj,24.5833,92.0333,181.15,44.00,,,,,,High seasonal storage,,,,,,High seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0010,kawadighi-haor,Kawadighi Haor,কাউয়াদীঘি হাওর,,Wetland,Haor,,Moulvibazar,Rajnagar,24.5500,91.8333,40.00,10.00,,,,,,Medium seasonal storage,,,,,,Medium seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-WB-0011,matian-haor,Matian Haor,মাটিয়ান হাওর,,Wetland,Haor,,Sunamganj,Tahirpur,25.1333,91.1333,52.00,15.00,,,,,,High seasonal storage,,,,,,High seasonal storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
