id,geoid,state_code,state_fips,name,slug,admin_level,country_code,country_iso3,functional_status,land_area_sqmi,water_area_sqmi,lat,lon
us-cousub-0100190171,0100190171,AL,01,Autaugaville CCD,autaugaville-ccd,admin3,US,USA,S,184.615,5.366,32.457413,-86.729003
us-cousub-0100190315,0100190315,AL,01,Billingsley CCD,billingsley-ccd,admin3,US,USA,S,149.37,0.608,32.606138,-86.748985
us-cousub-0100192106,0100192106,AL,01,Marbury CCD,marbury-ccd,admin3,US,USA,S,113.034,0.199,32.639324,-86.526071
us-cousub-0100192628,0100192628,AL,01,Prattville CCD,prattville-ccd,admin3,US,USA,S,147.436,3.741,32.479786,-86.506496
us-cousub-0100390207,0100390207,AL,01,Bay Minette CCD,bay-minette-ccd,admin3,US,USA,S,516.725,10.624,30.809659,-87.706187
us-cousub-0100390846,0100390846,AL,01,Daphne CCD,daphne-ccd,admin3,US,USA,S,114.812,54.977,30.667431,-87.906222
us-cousub-0100390963,0100390963,AL,01,Elberta CCD,elberta-ccd,admin3,US,USA,S,122.04,18.286,30.406946,-87.518884
us-cousub-0100391053,0100391053,AL,01,Fairhope CCD,fairhope-ccd,admin3,US,USA,S,65.768,75.65,30.466855,-87.912303
us-cousub-0100391152,0100391152,AL,01,Foley CCD,foley-ccd,admin3,US,USA,S,174.363,261.378,30.3586,-87.831463
us-cousub-0100392754,0100392754,AL,01,Robertsdale CCD,robertsdale-ccd,admin3,US,USA,S,170.739,1.639,30.556714,-87.643188
us-cousub-0100393024,0100393024,AL,01,Stockton CCD,stockton-ccd,admin3,US,USA,S,375.109,14.499,31.110476,-87.786871
us-cousub-0100393042,0100393042,AL,01,Summerdale CCD,summerdale-ccd,admin3,US,USA,S,50.388,0.278,30.489699,-87.67673
us-cousub-0100590189,0100590189,AL,01,Bakerhill CCD,bakerhill-ccd,admin3,US,USA,S,128.848,3.854,31.763418,-85.271865
us-cousub-0100590630,0100590630,AL,01,Clayton CCD,clayton-ccd,admin3,US,USA,S,199.617,0.38,31.922275,-85.449831
us-cousub-0100590648,0100590648,AL,01,Clio CCD,clio-ccd,admin3,US,USA,S,132.556,0.154,31.679443,-85.55772
us-cousub-0100591017,0100591017,AL,01,Eufaula CCD,eufaula-ccd,admin3,US,USA,S,287.771,14.927,32.000976,-85.243602
us-cousub-0100591989,0100591989,AL,01,Louisville CCD,louisville-ccd,admin3,US,USA,S,136.216,0.193,31.790893,-85.567051
us-cousub-0100790531,0100790531,AL,01,Centreville-Brent CCD,centreville-brent-ccd,admin3,US,USA,S,388.054,1.674,32.931869,-87.14378
us-cousub-0100792601,0100792601,AL,01,Piper-Coleanor CCD,piper-coleanor-ccd,admin3,US,USA,S,74.919,0.779,33.065223,-86.996632
us-cousub-0100793438,0100793438,AL,01,West Blocton CCD,west-blocton-ccd,admin3,US,USA,S,159.496,1.243,33.120326,-87.136978
us-cousub-0100990333,0100990333,AL,01,Blountsville CCD,blountsville-ccd,admin3,US,USA,S,96.224,0.577,34.033624,-86.637318
us-cousub-0100990414,0100990414,AL,01,Brooksville CCD,brooksville-ccd,admin3,US,USA,S,94.651,0.485,34.166034,-86.497174
us-cousub-0100990612,0100990612,AL,01,Clarence CCD,clarence-ccd,admin3,US,USA,S,73.32,0.191,34.076531,-86.390499
us-cousub-0100990639,0100990639,AL,01,Cleveland CCD,cleveland-ccd,admin3,US,USA,S,44.994,0.212,33.997435,-86.544238
us-cousub-0100991557,0100991557,AL,01,Hayden CCD,hayden-ccd,admin3,US,USA,S,102.601,0.603,33.896247,-86.812872
us-cousub-0100991953,0100991953,AL,01,Locust Fork CCD,locust-fork-ccd,admin3,US,USA,S,78.654,0.38,33.840429,-86.635412
us-cousub-0100992439,0100992439,AL,01,Oneonta CCD,oneonta-ccd,admin3,US,USA,S,154.461,3.274,33.904424,-86.460343
us-cousub-0101191098,0101191098,AL,01,Fitzpatrick CCD,fitzpatrick-ccd,admin3,US,USA,S,134.459,0.784,32.167144,-85.904292
us-cousub-0101191701,0101191701,AL,01,Inverness CCD,inverness-ccd,admin3,US,USA,S,169.147,0.557,31.97759,-85.750892
us-cousub-0101192133,0101192133,AL,01,Midway CCD,midway-ccd,admin3,US,USA,S,165.331,0.19,32.115727,-85.526734
us-cousub-0101193249,0101193249,AL,01,Union Springs CCD,union-springs-ccd,admin3,US,USA,S,153.878,0.797,32.156759,-85.701633
us-cousub-0101390540,0101390540,AL,01,Chapman CCD,chapman-ccd,admin3,US,USA,S,136.009,0.068,31.716324,-86.753322
us-cousub-0101391170,0101391170,AL,01,Forest Home CCD,forest-home-ccd,admin3,US,USA,S,170.457,0.105,31.861798,-86.760811
us-cousub-0101391314,0101391314,AL,01,Georgiana-McKenzie CCD,georgiana-mckenzie-ccd,admin3,US,USA,S,197.941,0.142,31.592237,-86.70981
us-cousub-0101391422,0101391422,AL,01,Greenville CCD,greenville-ccd,admin3,US,USA,S,272.432,0.727,31.812161,-86.554773
us-cousub-0101590066,0101590066,AL,01,Alexandria-Webster Chapel CCD,alexandria-webster-chapel-ccd,admin3,US,USA,S,100.936,0.693,33.846742,-85.891331
us-cousub-0101590099,0101590099,AL,01,Anniston CCD,anniston-ccd,admin3,US,USA,S,204.727,1.263,33.671051,-85.876956
us-cousub-0101590585,0101590585,AL,01,Choccolocco CCD,choccolocco-ccd,admin3,US,USA,S,92.402,0.911,33.738267,-85.681293
us-cousub-0101591746,0101591746,AL,01,Jacksonville CCD,jacksonville-ccd,admin3,US,USA,S,71.108,0.214,33.868108,-85.763933
us-cousub-0101592430,0101592430,AL,01,Ohatchee CCD,ohatchee-ccd,admin3,US,USA,S,68.609,2.905,33.768761,-86.037236
us-cousub-0101592556,0101592556,AL,01,Piedmont CCD,piedmont-ccd,admin3,US,USA,S,68.112,0.394,33.916941,-85.639599
us-cousub-0101791107,0101791107,AL,01,Five Points CCD,five-points-ccd,admin3,US,USA,S,119.017,3.613,33.037753,-85.332886
us-cousub-0101791818,0101791818,AL,01,La Fayette CCD,la-fayette-ccd,admin3,US,USA,S,181.06,0.789,32.893523,-85.444009
us-cousub-0101791827,0101791827,AL,01,Lanett CCD,lanett-ccd,admin3,US,USA,S,64.99,0.933,32.889494,-85.26375
us-cousub-0101792169,0101792169,AL,01,Milltown CCD,milltown-ccd,admin3,US,USA,S,80.099,0.827,33.04344,-85.51457
us-cousub-0101793272,0101793272,AL,01,Valley CCD,valley-ccd,admin3,US,USA,S,71.397,0.171,32.78641,-85.244134
us-cousub-0101793393,0101793393,AL,01,Waverly CCD,waverly-ccd,admin3,US,USA,S,79.995,0.221,32.784893,-85.506282
us-cousub-0101990513,0101990513,AL,01,Cedar Bluff-Gaylesville CCD,cedar-bluff-gaylesville-ccd,admin3,US,USA,S,176.459,15.409,34.305264,-85.554226
us-cousub-0101990522,0101990522,AL,01,Centre CCD,centre-ccd,admin3,US,USA,S,142.936,6.577,34.069515,-85.654242
us-cousub-0101991854,0101991854,AL,01,Leesburg CCD,leesburg-ccd,admin3,US,USA,S,90.196,12.885,34.199154,-85.757837
us-cousub-0101992983,0101992983,AL,01,Spring Garden CCD,spring-garden-ccd,admin3,US,USA,S,144.027,11.488,34.086172,-85.506889
us-cousub-0102190603,0102190603,AL,01,Clanton CCD,clanton-ccd,admin3,US,USA,S,84.536,1.441,32.852272,-86.60143
us-cousub-0102191710,0102191710,AL,01,Isabella-Pletcher CCD,isabella-pletcher-ccd,admin3,US,USA,S,100.673,0.153,32.77273,-86.736381
us-cousub-0102191764,0102191764,AL,01,Jemison CCD,jemison-ccd,admin3,US,USA,S,129.412,0.616,32.975998,-86.783081
us-cousub-0102192097,0102192097,AL,01,Maplesville CCD,maplesville-ccd,admin3,US,USA,S,174.171,0.536,32.768987,-86.895464
us-cousub-0102192178,0102192178,AL,01,Mineral Springs CCD,mineral-springs-ccd,admin3,US,USA,S,105.075,3.524,32.97092,-86.606179
us-cousub-0102193285,0102193285,AL,01,Verbena CCD,verbena-ccd,admin3,US,USA,S,98.971,1.678,32.75929,-86.525923
us-cousub-0102390441,0102390441,AL,01,Butler CCD,butler-ccd,admin3,US,USA,S,290.625,2.818,32.065501,-88.212752
us-cousub-0102391332,0102391332,AL,01,Gilbertown-Toxey CCD,gilbertown-toxey-ccd,admin3,US,USA,S,223.37,0.729,31.940313,-88.34451
us-cousub-0102391908,0102391908,AL,01,Lisman CCD,lisman-ccd,admin3,US,USA,S,222.889,1.613,32.274176,-88.215041
us-cousub-0102392925,0102392925,AL,01,Silas CCD,silas-ccd,admin3,US,USA,S,176.595,2.221,31.759107,-88.301664
us-cousub-0102590675,0102590675,AL,01,Coffeeville CCD,coffeeville-ccd,admin3,US,USA,S,142.919,2.941,31.839165,-88.057935
us-cousub-0102591260,0102591260,AL,01,Fulton CCD,fulton-ccd,admin3,US,USA,S,96.143,0.028,31.792901,-87.642515
us-cousub-0102591440,0102591440,AL,01,Grove Hill CCD,grove-hill-ccd,admin3,US,USA,S,321.513,1.892,31.617017,-87.697977
us-cousub-0102591726,0102591726,AL,01,Jackson CCD,jackson-ccd,admin3,US,USA,S,186.776,2.22,31.619137,-87.918732
us-cousub-0102593132,0102593132,AL,01,Thomasville CCD,thomasville-ccd,admin3,US,USA,S,263.699,0.1,31.88561,-87.835098
us-cousub-0102593362,0102593362,AL,01,Walker Springs CCD,walker-springs-ccd,admin3,US,USA,S,227.371,6.972,31.39711,-87.81892
us-cousub-0102790126,0102790126,AL,01,Ashland CCD,ashland-ccd,admin3,US,USA,S,217.253,0.736,33.218176,-85.786307
us-cousub-0102791899,0102791899,AL,01,Lineville CCD,lineville-ccd,admin3,US,USA,S,198.088,0.735,33.387278,-85.769061
us-cousub-0102792142,0102792142,AL,01,Millerville-Hollins CCD,millerville-hollins-ccd,admin3,US,USA,S,188.621,0.568,33.177532,-86.02161
us-cousub-0102991251,0102991251,AL,01,Fruithurst CCD,fruithurst-ccd,admin3,US,USA,S,189.761,0.178,33.820759,-85.472323
us-cousub-0102991593,0102991593,AL,01,Heflin CCD,heflin-ccd,admin3,US,USA,S,255.941,0.574,33.60759,-85.608638
us-cousub-0102992682,0102992682,AL,01,Ranburne CCD,ranburne-ccd,admin3,US,USA,S,114.427,0.133,33.572983,-85.396107
us-cousub-0103190954,0103190954,AL,01,Elba CCD,elba-ccd,admin3,US,USA,S,158.245,0.605,31.415484,-86.081449
